NOC,Description,NOC_Description,Industry,Variable,Geographic Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
#9465,"Testers and graders, food, beverage and associated products processing				","#9465Testers and graders, food, beverage and associated products processing				",All Industries,Supply less Demand,Mainland South West,-3,3,8,9,11,12,11,9,8,6,5
#9465,"Testers and graders, food, beverage and associated products processing				","#9465Testers and graders, food, beverage and associated products processing				",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9465,"Testers and graders, food, beverage and associated products processing				","#9465Testers and graders, food, beverage and associated products processing				",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9465,"Testers and graders, food, beverage and associated products processing				","#9465Testers and graders, food, beverage and associated products processing				",All Industries,Supply less Demand,South East,-2,0,0,0,0,0,0,0,0,0,0
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Demand,British Columbia,1401,1390,1390,1398,1403,1412,1426,1440,1451,1462,1467
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Demand,Mainland South West,1206,1185,1184,1190,1195,1203,1216,1228,1237,1246,1251
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Demand,Vancouver Island Coast,119,121,121,121,121,121,121,122,123,124,124
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Demand,South East,76,83,86,87,87,88,89,90,91,92,92
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Supply,British Columbia,1404,1405,1409,1420,1431,1441,1453,1463,1470,1477,1478
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Supply,Mainland South West,1208,1200,1203,1213,1224,1234,1245,1253,1258,1262,1263
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Supply,Vancouver Island Coast,120,122,121,121,120,120,121,121,122,123,124
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Labour Force Supply,South East,76,83,85,86,87,87,88,89,90,91,91
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Supply less Demand,British Columbia,3,15,19,22,28,30,27,23,19,15,11
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Supply less Demand,Mainland South West,2,15,19,24,30,31,28,25,21,16,12
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,-1,-1,-1,-1,-1,-1
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9471,"Plateless printing equipment operators								","#9471Plateless printing equipment operators								",All Industries,Supply less Demand,South East,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Demand,British Columbia,454,442,439,439,439,441,445,449,452,454,455
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Demand,Mainland South West,437,425,422,422,422,424,428,432,435,437,437
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Demand,Vancouver Island Coast,17,17,17,17,17,17,17,17,17,17,17
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Supply,British Columbia,454,448,446,447,449,452,455,458,459,460,459
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Supply,Mainland South West,436,431,429,430,432,435,438,441,442,443,442
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Supply,Vancouver Island Coast,17,17,17,17,17,17,17,17,17,17,17
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Labour Force Supply,South East,0,0,0,0,0,0,0,0,0,0,0
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Supply less Demand,British Columbia,0,6,7,9,11,11,10,9,7,6,4
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Supply less Demand,Mainland South West,-1,6,7,9,11,11,10,9,7,6,4
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9472,"Camera, platemaking and other prepress occupations						","#9472Camera, platemaking and other prepress occupations						",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Demand,British Columbia,594,583,580,580,580,583,588,594,597,600,600
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Demand,Mainland South West,531,516,513,513,512,515,520,525,528,531,531
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Demand,Vancouver Island Coast,34,34,34,34,34,34,34,34,34,35,35
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Demand,South East,29,32,33,33,34,34,34,34,35,35,35
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Supply,British Columbia,595,590,589,591,593,596,600,604,606,607,606
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Supply,Mainland South West,531,524,522,523,526,528,532,536,537,538,536
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Supply,Vancouver Island Coast,35,35,34,34,34,34,34,34,34,34,34
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Labour Force Supply,South East,29,32,33,33,33,33,34,34,35,35,35
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Supply less Demand,British Columbia,0,7,9,10,13,13,12,10,9,7,5
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Supply less Demand,Mainland South West,0,7,9,11,13,14,12,11,9,7,5
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Supply less Demand,Vancouver Island Coast,1,0,0,0,0,0,0,0,0,0,0
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9473,"Binding and finishing machine operators								","#9473Binding and finishing machine operators								",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Demand,British Columbia,950,955,972,993,1014,1033,1053,1074,1094,1115,1136
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Demand,Mainland South West,575,584,598,614,631,647,665,683,699,716,733
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Demand,Vancouver Island Coast,172,169,171,172,175,177,178,180,182,184,186
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Demand,North,49,49,49,49,49,48,48,47,47,47,47
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Demand,South East,154,153,155,157,159,160,162,164,166,168,170
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Supply,British Columbia,950,962,979,1000,1024,1044,1063,1083,1101,1120,1138
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Supply,Mainland South West,573,589,605,624,644,662,678,695,709,723,737
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Supply,Vancouver Island Coast,173,170,170,172,174,176,177,179,181,183,185
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Supply,North,48,49,49,49,49,48,48,47,47,47,47
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Labour Force Supply,South East,155,154,154,156,157,159,160,162,164,167,169
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Supply less Demand,British Columbia,0,7,6,8,10,11,10,9,7,5,3
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Supply less Demand,Mainland South West,-2,4,7,10,13,15,14,12,10,7,5
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Supply less Demand,Vancouver Island Coast,1,1,0,0,-1,-2,-1,-1,-1,-1,-1
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Supply less Demand,North,0,1,0,0,0,0,0,0,0,0,0
#9474,"Photographic and film processors									","#9474Photographic and film processors									",All Industries,Supply less Demand,South East,1,0,-1,-2,-2,-2,-2,-1,-1,-1,-1
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Demand,British Columbia,181,199,204,206,206,207,209,211,212,213,213
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Demand,Mainland South West,106,121,126,128,128,129,131,132,133,133,133
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Demand,Vancouver Island Coast,76,78,78,78,78,78,78,79,79,79,79
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Supply,British Columbia,182,198,205,208,209,210,211,213,213,214,214
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Supply,Mainland South West,110,121,127,130,131,132,134,135,135,135,135
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Supply,Vancouver Island Coast,71,77,78,78,78,78,78,78,79,79,79
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Labour Force Supply,South East,0,0,0,0,0,0,0,0,0,0,0
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Supply less Demand,British Columbia,0,-1,1,2,3,3,3,2,2,1,1
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Supply less Demand,Mainland South West,5,0,1,2,3,3,3,3,2,2,1
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Supply less Demand,Vancouver Island Coast,-4,-1,0,0,0,-1,0,0,0,0,0
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9521,"Aircraft assemblers and aircraft assembly inspectors						","#9521Aircraft assemblers and aircraft assembly inspectors						",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Demand,British Columbia,719,790,814,828,836,843,852,861,869,876,879
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Demand,Mainland South West,469,511,524,532,537,542,549,556,560,565,567
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Demand,South East,250,279,290,297,299,301,303,306,308,311,312
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Supply,British Columbia,733,788,817,834,845,853,862,870,876,882,883
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Supply,Mainland South West,483,512,530,541,549,555,562,567,570,572,573
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Supply,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Labour Force Supply,South East,250,276,287,293,296,298,300,303,306,310,310
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Supply less Demand,British Columbia,14,-2,3,6,10,10,9,8,7,5,4
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Supply less Demand,Mainland South West,14,1,6,9,13,14,13,11,9,7,5
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9522,"Motor vehicle assemblers, inspectors and testers							","#9522Motor vehicle assemblers, inspectors and testers							",All Industries,Supply less Demand,South East,0,-3,-3,-3,-3,-4,-3,-3,-2,-2,-1
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Demand,British Columbia,1285,1279,1281,1287,1291,1298,1311,1324,1332,1341,1343
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Demand,Mainland South West,1102,1088,1086,1090,1092,1098,1110,1121,1129,1135,1137
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Demand,Vancouver Island Coast,106,107,107,107,107,108,108,109,109,110,110
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Demand,South East,77,85,88,91,92,93,93,94,94,95,95
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Supply,British Columbia,1289,1293,1298,1308,1317,1325,1336,1345,1350,1355,1353
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Supply,Mainland South West,1104,1101,1104,1112,1120,1127,1137,1144,1148,1150,1148
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Supply,Vancouver Island Coast,107,107,107,107,107,107,107,108,109,109,110
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Labour Force Supply,South East,77,84,88,90,91,91,92,93,94,95,95
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Supply less Demand,British Columbia,4,13,17,21,26,27,24,21,18,14,11
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Supply less Demand,Mainland South West,2,14,18,22,28,29,26,23,19,15,11
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Supply less Demand,Vancouver Island Coast,2,0,0,0,0,-1,-1,-1,-1,-1,-1
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9523,"Electronics assemblers, fabricators, inspectors and testers					","#9523Electronics assemblers, fabricators, inspectors and testers					",All Industries,Supply less Demand,South East,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Demand,British Columbia,725,725,727,730,732,737,745,752,757,762,763
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Demand,Mainland South West,674,671,673,676,678,683,691,698,702,707,708
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Demand,Vancouver Island Coast,51,53,54,54,54,54,54,54,55,55,55
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Supply,British Columbia,729,732,737,743,749,755,761,766,769,771,770
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Supply,Mainland South West,677,679,684,689,695,701,707,712,714,716,716
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Supply,Vancouver Island Coast,52,53,54,54,54,54,54,54,54,55,55
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Labour Force Supply,South East,0,0,0,0,0,0,0,0,0,0,0
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Supply less Demand,British Columbia,4,8,10,13,17,17,16,14,12,9,7
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Supply less Demand,Mainland South West,3,8,10,13,17,18,16,14,12,9,7
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Supply less Demand,Vancouver Island Coast,1,0,0,0,0,0,0,0,0,0,0
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		","#9524Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing		",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Demand,British Columbia,112,118,120,121,122,122,124,125,125,126,126
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Demand,Mainland South West,112,118,120,121,122,122,124,125,125,126,126
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Supply,British Columbia,114,118,121,123,125,126,126,127,128,128,127
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Supply,Mainland South West,114,118,121,123,125,126,126,127,128,128,127
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Supply,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Labour Force Supply,South East,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Supply less Demand,British Columbia,2,1,1,2,3,3,3,3,2,2,1
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Supply less Demand,Mainland South West,2,1,1,2,3,3,3,3,2,2,1
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers		","#9525Assemblers, fabricators and inspectors, industrial electrical motors and transformers		",All Industries,Supply less Demand,South East,0,0,0,0,0,0,0,0,0,0,0
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Demand,British Columbia,676,747,769,780,784,790,798,805,811,817,818
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Demand,Mainland South West,489,541,556,563,566,571,577,582,585,589,589
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Demand,North,0,0,0,0,0,0,0,0,0,0,0
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Demand,South East,187,207,213,217,217,219,221,223,225,228,229
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Supply,British Columbia,691,745,773,788,795,802,809,815,819,823,823
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Supply,Mainland South West,503,540,562,573,580,585,590,594,595,596,595
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Supply,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Supply,North,0,0,0,0,0,0,0,0,0,0,0
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Labour Force Supply,South East,188,205,211,214,215,216,218,221,224,227,228
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Supply less Demand,British Columbia,15,-2,4,8,12,12,11,10,9,6,5
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Supply less Demand,Mainland South West,15,0,5,10,14,15,14,12,10,8,6
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Supply less Demand,Vancouver Island Coast,0,0,0,0,0,0,0,0,0,0,0
#9526,"Mechanical assemblers and inspectors								","#9526Mechanical assemblers and inspectors								",All Industries,Supply less Demand,North,0,0,0,0,0,0,0,0,0,0,0
